"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","27","53","35.5","37.5","15.5","540","0.774","615","0.576","553","0.36","0.559","0.613","32.5","7.9","8.4","1.5","0.5","4","40.4","40.9","48.8","14.6","119.9","110"
"","Shai Gilgeous-Alexander","Okc","*","G","27.7","54","33.5","33.4","9.7","497","0.895","822","0.601","243","0.383","0.595","0.667","31.7","4.5","6.6","1.4","0.8","2.1","36.2","38.3","42.8","11.7","134.1","106.1"
"","Anthony Edwards","Min","*","G","24.6","56","35.5","31.6","11.9","405","0.798","667","0.558","483","0.402","0.577","0.621","29.4","5","3.7","1.4","0.8","2.8","34.5","33.1","38.2","9.2","118.7","112.7"
"","Tyrese Maxey","Phi","*","G","25.3","61","38.3","29.9","10","373","0.893","794","0.521","542","0.373","0.537","0.589","29","4.1","6.7","2","0.8","2.4","33.1","35.6","39.7","9.7","121.1","114.1"
"","Nikola Jokic","Den","*","C","31.1","50","34.6","31.3","17.7","393","0.832","643","0.642","238","0.391","0.627","0.679","28.6","12.5","10.4","1.4","0.8","3.8","41.2","39","51.6","17.9","135.4","107.3"
"","Kawhi Leonard","Lac","*","F","34.7","51","32.4","33.5","9.6","340","0.906","644","0.57","350","0.38","0.57","0.63","28.3","6.4","3.8","2","0.5","2.1","34.6","32","38.4","10.9","125.1","113.2"
"","Jaylen Brown","Bos","*","G-F","29.4","58","34","36.2","14","404","0.78","929","0.527","333","0.348","0.526","0.571","28.3","7.1","5.1","1","0.4","3.6","35.5","33.5","40.6","11.9","113.8","106.9"
"","Donovan Mitchell","Cle","*","G","29.5","58","33.5","32.7","12.7","360","0.856","643","0.575","541","0.366","0.563","0.612","28.3","4.5","5.8","1.6","0.3","3","32.8","34.1","38.6","10.8","120.1","111.3"
"","Giannis Antetokounmpo","Mil","*","F","31.3","34","29","36.3","16.7","333","0.649","509","0.658","43","0.349","0.648","0.666","27.4","9.8","5.4","1","0.7","3.3","37.1","32.8","42.6","15.6","126.4","109.4"
"","Stephen Curry","Gol","*","G","38","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.7","113.5"
"","Lauri Markkanen","Uta","*","F-C","28.8","42","34.3","28.3","7.3","268","0.896","481","0.559","324","0.355","0.548","0.608","26.7","6.9","2.1","1","0.5","1.5","33.6","28.9","35.7","8.5","122.9","120.4"
"","Joel Embiid","Phi","*","C-F","32","33","31.2","33.8","14","282","0.858","467","0.546","133","0.316","0.53","0.606","26.6","7.5","3.9","0.6","1.1","3","34.2","30.5","38.1","11.8","119.4","112"
"","Jalen Brunson","Nyk","*","G","29.5","62","34.8","30.3","10.5","357","0.84","777","0.515","461","0.38","0.535","0.582","26.2","3.5","6.5","0.7","0.1","2.3","29.7","32.7","36.2","9.7","121.7","112.1"
"","Kevin Durant","Hou","*","F","37.4","62","36.4","27.1","15.3","372","0.887","745","0.566","353","0.405","0.58","0.635","25.9","5.5","4.5","0.9","0.9","3.2","31.3","30.3","35.8","9.5","123.4","112.2"
"","Jamal Murray","Den","*","G","29","61","34.9","28.7","11.2","316","0.877","673","0.519","449","0.43","0.569","0.616","25.5","4.3","7.1","0.9","0.4","2.3","29.8","32.6","37","10.5","124.4","116.3"
"","James Harden","Lac","","G","36.5","44","35.4","31.2","17.4","374","0.901","382","0.492","389","0.347","0.506","0.598","25.4","4.8","8.1","1.3","0.4","3.7","30.2","33.5","38.4","11.3","119.3","114.5"
"","Cade Cunningham","Det","*","G","24.5","57","35","30.8","16.2","366","0.809","769","0.507","340","0.35","0.513","0.564","25.1","5.6","9.9","1.4","0.9","3.8","30.8","35.1","40.7","12.8","117.5","105"
"","Devin Booker","Pho","*","G","29.4","49","33.4","31.5","15.2","381","0.869","607","0.511","281","0.32","0.501","0.578","24.9","4","6.1","0.9","0.3","3.2","28.9","31","35","10.1","117.4","112"
"","Deni Avdija","Por","*","F","25.2","50","33.3","29.1","18.8","452","0.803","502","0.536","308","0.338","0.525","0.601","24.3","7","6.7","0.8","0.6","3.8","31.2","30.9","37.9","12.5","119.1","111.1"
"","Victor Wembanyama","San","*","F-C","22.2","51","29.3","31.6","13.7","368","0.815","554","0.578","272","0.36","0.565","0.625","24.2","11.1","2.9","1","3","2.6","35.3","27.1","38.2","12.6","120.4","100"
"","Michael Porter Jr.","Bro","*","F","27.7","52","32.5","30.4","11.3","228","0.86","473","0.567","485","0.363","0.555","0.595","24.2","7.1","3","1.1","0.3","2.3","31.3","27.3","34.3","9.9","114.3","114.3"
"","Pascal Siakam","Ind","*","F","31.9","55","33.5","29.6","10.5","343","0.682","755","0.527","265","0.362","0.531","0.563","24","6.7","3.9","1.1","0.4","2.2","30.6","27.8","34.5","10.2","111.4","113.9"
